Date,Close,High,Low,Open,Volume
2010-01-04,6.424604892730713,6.439314685252985,6.3756721867282895,6.407193227963411,493729600
2010-01-05,6.435714244842529,6.472038623854981,6.401791129853642,6.442318823140026,601904800
2010-01-06,6.333343029022217,6.461228822173879,6.326738453495593,6.435711544814556,552160000
2010-01-07,6.321634769439697,6.364263903274505,6.275704149333206,6.3567587035127895,477131200
2010-01-08,6.363661766052246,6.3642625827202535,6.276003856706163,6.313228036553486,447610800
2010-01-11,6.307526588439941,6.394284298208381,6.257692860547633,6.388280138025751,462229600
2010-01-12,6.235775947570801,6.297317770762282,6.196750119635403,6.279905310246938,594459600
2010-01-13,6.323735237121582,6.332141059541071,6.1271042446460156,6.2402802344955175,605892000
2010-01-14,6.287113666534424,6.318034696676718,6.274805536578112,6.3075278151255025,432894000
2010-01-15,6.182043552398682,6.352257927761035,6.180242303904829,6.332143986246346,594067600
2010-01-19,6.455526351928711,6.460029472918873,6.22137007261783,6.254091549377498,730007600
2010-01-20,6.3561601638793945,6.47083643636577,6.289214968899267,6.451623521327378,612152800
2010-01-21,6.246285915374756,6.403591739915323,6.2204688225918865,6.366667349187989,608154400
2010-01-22,5.9364776611328125,6.229173663915011,5.918766189752913,6.207559488314014,881767600
2010-01-25,6.096185207366943,6.145117514813064,6.0097272955997,6.079373957879197,1065699600
2010-01-26,6.182343482971191,6.415599941900661,6.08147597671428,6.182643691040025,1867110000
2010-01-27,6.240580081939697,6.321633822352593,5.989911658005317,6.209659064365654,1722568400
2010-01-28,5.98270845413208,6.169133623355006,5.964996982868184,6.152022568121193,1173502400
2010-01-29,5.765665054321289,6.070069261988136,5.711328589216638,6.036446755520669,1245952400
2010-02-01,5.8458170890808105,5.883942707215243,5.742848139801959,5.774969597344578,749876400
2010-02-02,5.8797407150268555,5.893550286549331,5.805291116095373,5.881242156221584,698342400
2010-02-03,5.980907917022705,6.010027697131553,5.836511051116827,5.859026254109648,615328000
2010-02-04,5.765362739562988,5.95508937153389,5.750952756648189,5.9058560648650955,757652000
2010-02-05,5.867732048034668,5.883943283219549,5.729339339339847,5.782775572214502,850306800
2010-02-08,5.827503204345703,5.940378987692335,5.823900708977085,5.874635050461768,478270800
2010-02-09,5.889646530151367,5.92897257872684,5.8464173764653316,5.896550913868203,632886800
2010-02-10,5.8575239181518555,5.901954299019707,5.831706833123664,5.8806391313211535,370361600
2010-02-11,5.964095592498779,5.996517655324463,5.825702912540377,5.850319567453347,550345600
2010-02-12,6.015432357788086,6.053257776314497,5.868934013225322,5.947286322334134,655468800
2010-02-16,6.106091499328613,6.114797130890145,6.049653595343914,6.062261931072785,543737600
2010-02-17,6.0805745124816895,6.133409518567146,6.029839760013951,6.129807022476294,436396800
2010-02-18,6.091981887817383,6.120801457022376,6.031641278030102,6.052955245898117,422825200
2010-02-19,6.054157733917236,6.100088769030145,6.037346482067324,6.05986208831077,415469600
